node,alexa_rank,daily_pageviews_per_visitor,daily_time_on_site,total_sites_linking_in,bounce_rate
pollsitelocator.com,313286.0,1.4,125.0,30.0,0.625
louiscollectionsbangkok.com,3069311.0,5.0,,41.0,
newliturgicalmovement.org,1072597.0,1.5,85.0,992.0,0.611
keen.com,46626.0,4.8,280.0,548.0,0.484
inequality.org,242967.0,1.4,140.0,593.0,0.794
ncps-k12.org,404134.0,3.0,175.0,83.0,0.438
khaleejtimes.com,3152.0,2.63,237.0,5038.0,0.506
bayareauasi.org,,,,19.0,
factorydirectpromos.com,1034545.0,1.0,90.0,106.0,0.611
thebalancesmb.com,3104.0,1.26,107.0,136.0,0.8340000000000001
climaterealityproject.org,109079.0,1.5,151.0,590.0,0.715
waffen-ss.no,,,,64.0,
democraticaudit.com,767178.0,1.2,95.0,304.0,0.8420000000000001
fastfoodnationhonorsproject.weebly.com,,,,2.0,
twitter.com,52.0,9.98,765.0,2374826.0,0.213
globallegalinsights.com,256658.0,1.3,102.0,62.0,0.812
worldweatheronline.com,73941.0,1.5,118.0,881.0,0.716
pluralsight.com,1299.0,4.78,609.0,1595.0,0.387
tndtownpaper.com,,,,82.0,
edkrassenstein.com,,,,5.0,
militaryfactory.com,90947.0,1.4,107.0,1049.0,0.759
shelby.tx.us,4146146.0,1.0,,35.0,
meretz.org.il,2898625.0,2.0,99.0,148.0,
cairmn.com,,,,26.0,
theactionpac.com,95066.0,1.5,78.0,49.0,0.529
bayoubrief.com,1148321.0,1.0,91.0,36.0,0.8
bestsingletravel.com,2427883.0,2.0,102.0,57.0,
copelandinteriors.co.uk,,,,1.0,
indianriverbikram.com,,,,5.0,
alarab.co.uk,26091.0,1.9,177.0,564.0,0.6990000000000001
marrieddivorce.com,381897.0,1.2,95.0,465.0,0.816
kinja.com,8900.0,3.24,180.0,12845.0,0.384
girlsdateforfree.com,47384.0,1.1,18.0,142.0,0.8109999999999999
thespinoff.co.nz,44268.0,1.4,161.0,282.0,0.746
usobserver.com,3378732.0,1.0,,133.0,
ways-to-die.com,4665343.0,2.0,,5.0,
globalpolicy.org,172285.0,1.2,86.0,2178.0,0.848
skilledsurvival.com,101156.0,1.4,135.0,131.0,0.737
realitatea.md,512054.0,1.0,152.0,254.0,0.7709999999999999
cpgb.org.uk,4562404.0,1.0,,310.0,
collectorsolutions.com,68944.0,3.1,159.0,58.0,0.083
westmonster.com,1083793.0,1.0,137.0,142.0,0.7
nextron-systems.com,3236250.0,1.0,,2.0,
minds-international.com,,,,11.0,
nevadacure.org,,,,14.0,
anthonybucci.com,3455685.0,1.0,,3.0,
eip.org,1143661.0,1.0,63.0,36.0,0.909
aschaper1.blogspot.com,,,,22.0,
josephnicolosi.com,1579130.0,2.0,192.0,75.0,
charleyboutique.com,1775504.0,10.0,739.0,4.0,
mjbizdaily.com,32284.0,2.0,141.0,203.0,0.6659999999999999
markwiddicombe.com,,,,,
lakecountyclerk.org,950738.0,5.0,167.0,141.0,0.0
morristwp.com,3134462.0,2.0,,62.0,
labyrinthos.co,75219.0,1.7,199.0,73.0,0.6609999999999999
albertandp.ca,3548222.0,2.0,,104.0,
constitutionpartync.com,,,,30.0,
marriagemissions.com,1342841.0,1.0,66.0,173.0,0.933
catholicnovenaapp.com,475639.0,1.7,145.0,46.0,0.711
tekhspy.com,60712.0,1.8,115.0,87.0,0.677
florencecity.it,,,,8.0,
tbrfootball.com,111711.0,1.4,137.0,103.0,0.77
bassettfuneralservice.com,,,,49.0,
occulthumanitiesconference.org,,,,2.0,
energyinformative.org,156307.0,1.2,146.0,288.0,0.857
promisesmade-promiseskept.com,,,,2.0,
republicanmatters.com,,,,2.0,
simplydecoded.com,,,,46.0,
directrev.com,16585.0,1.9,156.0,150.0,0.225
lydiaortega.com,,,,7.0,
globalhypnosisacademy.com,,,,4.0,
evrent.co.uk,,,,11.0,
sexywomeninuniform.tumblr.com,,,,,
starry-skies.net,,,,8.0,
iwfaustralia.com,,,,,
cwsworkshop.org,3054343.0,1.0,,124.0,
enterprisinglatinas.org,,,,1.0,
humanrights.is,785483.0,1.2,68.0,100.0,0.8
lusha.co,14656.0,2.62,172.0,77.0,0.28600000000000003
erwinchamber.org,,,,16.0,
tlrnews.com,,,,2.0,
diabetescare.abbott,799503.0,1.0,90.0,41.0,0.474
cutedeadguys.net,1003080.0,3.0,225.0,87.0,
scarlett-dreams.com,,,,1.0,
integrityusa.org,,,,230.0,
theindyexperience.com,2331766.0,1.0,,85.0,
techdee.com,166521.0,2.2,128.0,50.0,0.5710000000000001
dvb-sale.com,,,,4.0,
inman.com,28301.0,1.9,135.0,1691.0,0.64
tmay.co.uk,4203822.0,1.0,,82.0,
robynnordell.com,,,,14.0,
awfs.org,3551753.0,2.0,,50.0,
muslimeater.com,,,,22.0,
mycivicworkout.com,,,,3.0,
martyduren.com,5792984.0,4.0,519.0,68.0,
genbriand.com.ar,,,,20.0,
bilingualmonkeys.com,932351.0,1.0,150.0,87.0,0.913
hudduma.com,5252197.0,1.0,,2.0,
teachingamericanhistory.org,155980.0,1.3,126.0,1551.0,0.8290000000000001
gopoly.com,905083.0,2.0,61.0,213.0,0.5
prowoodlumber.com,719256.0,1.6,125.0,79.0,0.625
muscleandfitness.com,24181.0,1.5,112.0,1290.0,0.721
stocknewsusa.com,4509353.0,3.0,215.0,31.0,
legalcrystal.com,273748.0,1.4,95.0,76.0,0.738
illinoiscomptroller.com,4836026.0,1.0,,80.0,
newscorpse.com,1152648.0,1.0,103.0,297.0,0.875
fedspendingtransparency.github.io,4916621.0,1.0,,8.0,
stteresaauburn.com,,,,48.0,
diplomatsofsound.org,,,,46.0,
russiancouncil.ru,116619.0,1.4,140.0,819.0,0.821
nmhealth.org,82312.0,2.3,210.0,303.0,0.318
w-dervish.blogspot.com,,,,20.0,
covid19india.org,590.0,1.26,190.0,85.0,0.777
indianculturalforum.in,1008846.0,1.1,49.0,78.0,0.909
national-lottery.co.uk,17025.0,5.0,164.0,481.0,0.223
aconservativelesbian.com,,,,106.0,
actualanarchy.com,3881951.0,1.0,,7.0,
onlinedabali.com,338189.0,5.9,1234.0,76.0,0.374
lpky.org,1444731.0,2.0,59.0,18.0,0.727
miraculousladybug.com,1308077.0,1.0,,42.0,
michaelmalice.com,2160342.0,2.0,67.0,41.0,
vanguardcanada.ca,135646.0,2.5,196.0,59.0,0.518
verobeachrealestatescam.com,,,,6.0,
pickupthefork.com,3848395.0,1.0,,140.0,
usgovernmentdebt.us,,,,151.0,
uslawbooks.com,6147081.0,1.0,,20.0,
rhylsnooker.wordpress.com,,,,,
astrogrowth.com,145722.0,1.3,95.0,44.0,0.8
survivalandprosperity.com,3287357.0,1.0,,82.0,
sabrina-nellie.tumblr.com,,,,,
kersplebedeb.com,6856868.0,1.0,,327.0,
frenchenlightenment.weebly.com,,,,,
debretts.com,540501.0,2.0,66.0,335.0,0.81
plancpills.org,2958440.0,1.0,,48.0,
mydaytondailynews.com,,,,386.0,
colddeadhands.us,1079418.0,2.0,68.0,43.0,0.8
affirmativeright.blogspot.com,350882.0,1.6,155.0,44.0,0.68
etsyquebec.ca,,,,2.0,
phibetaiota.net,127875.0,2.2,212.0,443.0,0.511
gracevanberkum.com,626587.0,1.1,113.0,21.0,0.88
textbookofbacteriology.net,373651.0,1.4,213.0,686.0,0.775
boaldinlaw.com,,,,1.0,
camaramedellin.com.co,123519.0,4.1,275.0,183.0,0.373
rianstonept.blogspot.com,,,,,
wtnh.com,77458.0,1.7,149.0,1868.0,0.643
lgbtfansdeservebetter.com,2190734.0,1.0,,20.0,
politicaloceans.com,,,,1.0,
infographicjournal.com,82211.0,2.4,132.0,426.0,0.34700000000000003
africanfilmny.org,1506555.0,1.0,79.0,153.0,
kboo.org,,,,131.0,
tamesideandglossopccg.org,,,,12.0,
travois.com,6933917.0,1.0,,16.0,
zabusaries.com,991081.0,6.0,459.0,3.0,
az.gov,10832.0,2.48,152.0,3155.0,0.466
swedishsurveyor.wordpress.com,,,,1.0,
bearingarms.com,114752.0,1.3,158.0,585.0,0.846
diamondandsilk.com,466571.0,1.0,144.0,49.0,0.902
appropriate-this-bitches.tumblr.com,,,,,
offtopics.com,,,,13.0,
alliedmarketresearch.com,22798.0,2.5,256.0,201.0,0.637
actingpersonblog.wordpress.com,,,,2.0,
1familyradio.com,9096586.0,1.0,,9.0,
mronline.org,150873.0,1.5,90.0,82.0,0.591
barnesreview.org,3385737.0,1.0,,364.0,
mizzkate.wordpress.com,,,,,
echo-ntn.org,211213.0,1.2,289.0,58.0,0.7709999999999999
offshorelivingletter.com,1283027.0,1.0,103.0,12.0,0.75
sandiegorepublicans.org,5138218.0,1.0,,35.0,
logicalfallacies.info,,,,299.0,
fosters.com,187332.0,1.2,88.0,1414.0,0.821
lottomag.com,5944244.0,1.0,,8.0,
occupytheory.org,7103375.0,1.0,,115.0,
questionsforcouples.com,1310780.0,1.0,81.0,20.0,0.846
pearlspasf.com,8880468.0,1.0,,47.0,
oklegislature.gov,1270920.0,2.0,80.0,439.0,0.583
miacx.org,,,,29.0,
jakehanrahan.com,,,,2.0,
dailytimes.com.pk,37218.0,1.3,112.0,4307.0,0.779
acm.org,6290.0,1.9,133.0,19178.0,0.667
ios14betadownload.com,1815592.0,2.0,66.0,1.0,0.583
somd.com,490992.0,2.3,103.0,649.0,0.7609999999999999
patriotretort.com,390146.0,1.8,149.0,155.0,0.621
touchechicago.com,,,,27.0,
inspiremykids.com,341247.0,1.1,89.0,155.0,0.922
eapolanco.com,7944149.0,1.0,,1.0,
forums.net,406218.0,1.9,98.0,91.0,0.471
humblysubmitted.blogspot.com,,,,5.0,
thecraftlydecor.com,46053.0,2.4,185.0,39.0,0.16899999999999998
alkhaleej.ae,29412.0,1.4,142.0,1146.0,0.757
thepcosnutritionist.com,3605108.0,2.0,,13.0,
emediapress.com,1886188.0,1.0,83.0,172.0,0.833
hightowerlowdown.org,5763632.0,1.0,,240.0,
refugeeresearch.net,2846190.0,2.0,101.0,26.0,
albertacarpenters.com,7828131.0,1.0,,67.0,
pushedleft.blogspot.com,9261721.0,1.0,,51.0,
rcpbml.org.uk,,,,84.0,
macrebur.com,2983114.0,3.0,171.0,20.0,
farrow.tech,1690468.0,1.0,81.0,2.0,
theredpillmovie.com,1048465.0,1.0,80.0,120.0,0.75
madisonbrigade.com,7867478.0,1.0,,44.0,
jaffa.cat,,,,3.0,
dougdillon.com,,,,18.0,
opportunityindex.org,5317156.0,6.0,,31.0,
tucsonfoodie.com,652008.0,1.9,98.0,59.0,0.594
rightforeducation.org,1287435.0,1.0,152.0,62.0,0.909
decoraheaglecamalerts.com,6777107.0,1.0,,63.0,
brugesgroup.com,5969181.0,1.0,,239.0,
whiskeyandthemorningafter.blogspot.com,,,,8.0,
defenceupdate.in,323574.0,1.5,150.0,76.0,0.772
battlebornprogress.org,,,,5.0,
arxiv.org,2169.0,2.09,161.0,19899.0,0.614
pauseliveaction.wordpress.com,6900279.0,1.0,,7.0,
thecollectiveknowledgeofww2.weebly.com,6996205.0,1.0,,1.0,
aryjglantz.com,,,,6.0,
bloggingblue.com,5415212.0,1.0,,105.0,
gadgetflazz.com,391552.0,1.6,97.0,63.0,0.628
chicksonright.com,128492.0,1.5,133.0,91.0,0.6829999999999999
cambridge.org,365.0,3.43,302.0,21233.0,0.507
yelp.com,482.0,3.2,205.0,76306.0,0.404
ifanyonehears.blogspot.com,,,,,
safemoneyplaces.com,3750193.0,1.0,,20.0,
isdownrightnow.net,1610860.0,1.0,,11.0,
americanmajority.org,7776535.0,1.0,,86.0,
polsci101.wordpress.com,,,,4.0,
fbireform.com,621925.0,3.3,307.0,25.0,0.75
pinkbarrio.com,,,,5.0,
rasthaa.com,,,,72.0,
frbatlanta.org,162025.0,1.4,103.0,763.0,0.779
cer.eu,510146.0,1.5,93.0,135.0,0.5920000000000001
farleftwatch.wordpress.com,,,,12.0,
klamathbasincrisis.org,,,,90.0,
whychristianitymakessense.wordpress.com,,,,,
organtransplants.org,2134030.0,1.0,,95.0,
tert.am,43143.0,2.3,305.0,759.0,0.618
mishpacha.org,,,,25.0,
bipartisanreport.com,387453.0,1.3,153.0,373.0,0.772
yesh-din.org,4752081.0,1.0,,151.0,
healthstatus.com,150319.0,1.4,123.0,426.0,0.7170000000000001
rand.org,36619.0,1.4,110.0,7121.0,0.8059999999999999
sfhistory.org,2822162.0,1.0,,102.0,
lesbianpride.org,,,,2.0,
chevroletofwatsonville.com,3769100.0,4.0,,4.0,
historyaccess.com,3405322.0,1.0,,51.0,
fair.org,209067.0,1.1,104.0,3757.0,0.818
wynn1063.com,2850397.0,1.0,,19.0,
elginhistory12.wikispaces.com,,,,2.0,
elisacordova.com,,,,,
buzzybuzz.info,7228746.0,1.0,,3.0,
richmondhill.ca,285787.0,2.8,143.0,411.0,0.484
chescodems.org,606262.0,1.2,76.0,9.0,0.923
xit.net,5526604.0,1.0,,42.0,
indivisibleguide.com,,,,77.0,
solopoly.net,8167046.0,1.0,,37.0,
visitnewbern.com,3056937.0,1.0,,85.0,
phl.democrat,,,,,
yadayadayadaecon.com,6093175.0,1.0,,74.0,
casecoach.com,278014.0,2.8,159.0,43.0,0.74
northstarnutritionals.com,681122.0,3.0,138.0,31.0,0.471
cpu.si,3231440.0,1.0,,25.0,
venuescafe.com,,,,5.0,
jesusnorepublican.org,,,,13.0,
christiancinema.com,273450.0,2.5,152.0,512.0,0.721
supchina.com,160040.0,1.5,105.0,190.0,0.76
africancourtcoalition.org,,,,25.0,
buyapparelmarket.com,52004.0,3.6,256.0,7.0,0.052000000000000005
africaportal.org,144999.0,1.1,106.0,253.0,0.863
votetogether.ca,,,,35.0,
lindseykubly.com,1263316.0,1.0,76.0,31.0,0.667
commondreams.org,14766.0,1.5,135.0,10597.0,0.79
hadithcollection.com,177876.0,5.9,263.0,215.0,0.426
arizonahomeopathic.org,3597730.0,1.0,,7.0,
colonialsociety.org,5604597.0,1.0,,19.0,
midday.info,,,,2.0,
nwfacts.com,,,,13.0,
theearthliberationfront.org,,,,1.0,
blackmeninamerica.com,3003135.0,1.0,,58.0,
cnn.co.jp,11055.0,1.8,126.0,2031.0,0.563
ilsos.gov,32100.0,3.5,204.0,403.0,0.242
cigarsbuy.com,43151.0,3.5,244.0,66.0,0.047
statisticshowto.com,11438.0,1.3,126.0,372.0,0.8240000000000001
panicattackrecovery.com,8983027.0,1.0,,11.0,
ghostjournal.weebly.com,,,,,
collinselementary.org,,,,2.0,
carolineletkeman.org,,,,52.0,
john-lowther.blogspot.com,8896603.0,1.0,,1.0,
markgeorgedds.com,,,,3.0,
yourtimetravelexperience.com,6207801.0,1.0,,3.0,
transmissionhub.com,2078433.0,2.0,,38.0,
wordpresspronto.com.br,,,,1.0,
studentprivacymatters.org,2515542.0,3.0,227.0,23.0,
lobbyists.wa.gov.au,7295249.0,1.0,,1.0,
anopenletterto.org,,,,2.0,
bedellforvirginia.com,,,,5.0,
journalhse.org,,,,14.0,
obortunity.org,1215888.0,2.0,123.0,7.0,0.579
womenleadsummit.com,,,,3.0,
californiapolicechiefs.org,4075246.0,1.0,,46.0,
srjnews.com,3449148.0,1.0,,72.0,
firearmsandliberty.com,2491515.0,1.0,,180.0,
wallpaperscraft.com,11892.0,9.2,221.0,373.0,0.307
missiontotransition.blogspot.com,4004332.0,1.0,,5.0,
myfirstdrone.com,1399243.0,1.0,47.0,118.0,0.923
britishimperialism.wordpress.com,,,,,
complex.com,4104.0,3.08,115.0,8062.0,0.6809999999999999
freemarissanow.org,,,,35.0,
austinot.com,565792.0,1.3,132.0,259.0,0.8
fishazblog.com,,,,3.0,
beachpeanuts.com,,,,20.0,
johnrlott.blogspot.com,4363238.0,1.0,,343.0,
timesofkhyber.com.pk,,,,3.0,
federalrulesofcivilprocedure.blogspot.com,,,,1.0,
hfbscotland.co.uk,,,,11.0,
fhr.com,1349264.0,2.0,116.0,83.0,
marx-memorial-library.org,,,,37.0,
uawire.org,2673960.0,1.0,107.0,218.0,0.8
cordbands.com,,,,57.0,
freeprintablebehaviorcharts.com,1169127.0,3.0,90.0,291.0,
guntube.org,5583470.0,1.0,,3.0,
dispatch.com,33088.0,1.5,143.0,7481.0,0.7240000000000001
newsmediaeurope.eu,,,,14.0,
permanentdefense.org,4608553.0,1.0,,16.0,
centreforfeministforeignpolicy.org,3870682.0,1.0,,4.0,
fordfornevada.com,,,,4.0,
lovable-dogs.com,3873530.0,2.0,,44.0,
thejerichomovement.com,,,,109.0,
hatreon.net,4542992.0,1.0,,4.0,
gumtree.com.au,1497.0,7.0,449.0,1646.0,0.223
psyche.media,,,,4.0,
puffandpass.co.za,109041.0,2.4,196.0,108.0,0.421
theccc.org.uk,303904.0,1.1,124.0,285.0,0.911
ronpaulnews.net,,,,23.0,
longbeachcertified.com,4199954.0,3.0,,4.0,
ecosocialistsvancouver.org,,,,23.0,
pregnancyandchildren.com,,,,5.0,
wbir.com,87153.0,1.5,133.0,1777.0,0.711
whocanivotefor.co.uk,3462979.0,1.0,,4.0,
googleflightss.com,,,,1.0,
freedomproject.com,2679423.0,1.0,155.0,76.0,
kinsmenlutheran.org,,,,13.0,
metaspoon.com,490570.0,1.5,163.0,179.0,0.672
dhsessions2.com,,,,8.0,
xinhuanet.com,23.0,5.24,166.0,48682.0,0.256
prochoicemissouri.org,7064756.0,1.0,,13.0,
jbhifi.com.au,3856.0,3.48,233.0,366.0,0.332
fuzzyscience.wikispaces.com,,,,4.0,
olddominionlibertarian.wordpress.com,,,,3.0,
alexapure.com,1117413.0,3.0,121.0,5.0,0.546
codysnodgrass.com,,,,6.0,
dailynewsen.com,186062.0,2.7,218.0,376.0,0.418
worldsnewz.com,,,,1.0,
cpnys.org,3750860.0,1.0,,106.0,
luxwatch.ua,985059.0,4.0,268.0,122.0,0.463
brazilian.report,169476.0,1.3,85.0,13.0,0.8390000000000001
ndu.edu.pk,263194.0,2.9,225.0,217.0,0.459
fbi.gov,7798.0,2.69,162.0,12870.0,0.541
heskem.org.il,8552227.0,2.0,,60.0,
thefrt.com,,,,7.0,
artlyst.com,735626.0,1.6,64.0,510.0,0.815
willpotter.com,9933668.0,1.0,,38.0,
fngirls.com,,,,2.0,
oneonta.edu,208103.0,1.3,125.0,1858.0,0.7659999999999999
beatcancer.org,3332475.0,1.0,,68.0,
laurakbuzz.com,4926026.0,1.0,,1.0,
alarmsforfarms.com,,,,15.0,
americanewscentral.com,3211963.0,1.0,,98.0,
michiganfreedomfund.com,7939120.0,1.0,,8.0,
algop.org,3640986.0,1.0,,113.0,
awmalliance.com,1214588.0,2.0,79.0,17.0,0.733
thedeplorablegroup.com,,,,2.0,
dollkind.com,,,,24.0,
divinelifestyle.com,520768.0,2.0,91.0,424.0,0.611
pro-football-reference.com,9849.0,4.67,339.0,1186.0,0.449
occupationalhealth.co.uk,,,,4.0,
pipersdojo.com,7690486.0,1.0,,13.0,
kaiptc.org,1159442.0,5.0,1368.0,97.0,0.182
google-flights.com,,,,1.0,
pickydomains.com,443977.0,5.9,339.0,170.0,0.225
trainingdogs101.com,3449952.0,1.0,,6.0,
crazycrawfish.wordpress.com,4403937.0,1.0,,20.0,
branex.ae,363263.0,1.4,102.0,90.0,0.736
mermaidsbakery.com,3742353.0,2.0,,16.0,
bop.gov,73881.0,2.0,159.0,1661.0,0.521
edwardmd.wordpress.com,,,,30.0,
centerforinquiry.org,175237.0,1.9,144.0,71.0,0.66
stmaron.org,6516005.0,2.0,,124.0,
dementia.org.au,493295.0,1.3,102.0,74.0,0.764
childstats.gov,1040976.0,1.0,44.0,688.0,0.727
pentictonherald.ca,632574.0,1.5,120.0,524.0,0.7140000000000001
chronicle.software,5567466.0,1.0,,12.0,
readingrecoverywithrob.weebly.com,,,,1.0,
myfox28columbus.com,471183.0,1.5,88.0,291.0,0.75
infacts.org,3090565.0,1.0,,51.0,
lostinthemythsofhistory.blogspot.com,,,,15.0,
nus.org.uk,495743.0,1.0,126.0,580.0,0.769
biv.com,110525.0,1.4,121.0,518.0,0.723
siriustimes.com,,,,5.0,
tomconinereviews.blogspot.com,8881445.0,1.0,,,
ssoltanhistory.weebly.com,,,,9.0,
tworivertimes.com,1232510.0,1.0,133.0,75.0,1.0
stearns.mn.us,913181.0,2.0,92.0,225.0,0.333
yomiuri.co.jp,2775.0,2.3,144.0,11446.0,0.633
rdj4u.com,,,,16.0,
lindro.it,1109667.0,1.0,100.0,228.0,0.7859999999999999
sonoritygroup.com,3198451.0,2.0,,3.0,
cheguevara.com,,,,54.0,
capeflyer.com,1941208.0,2.0,,74.0,
arbitraryimpermanence.wordpress.com,,,,,
historyly.com,3229060.0,1.0,,4.0,
dahaines.com,,,,2.0,
mend.org.uk,4851441.0,1.0,,38.0,
full-design.com,87915.0,2.2,109.0,17736.0,0.588
mslaurynhill.com,5698878.0,1.0,,35.0,
world.wng.org,138628.0,1.5,100.0,89.0,0.708
thewhizmarketing.com,1333.0,1.03,65.0,101.0,0.773
johnguandolo.wordpress.com,,,,,
kangaroocourtofaustralia.com,141891.0,12.0,2440.0,129.0,0.127
dailyfx.com,5705.0,1.86,172.0,1260.0,0.608
vudesign.me,,,,6.0,
pastordan.net,,,,5.0,
